Origin,Destination,Distance
ATL,ORD,606.0
ATL,DFW,731.0
ATL,DEN,1199.0
ATL,CLT,226.0
ATL,LAX,1947.0
ATL,SEA,2182.0
ATL,LAS,1747.0
ATL,PHX,1587.0
ATL,IAH,689.0
ATL,MCO,404.0
ATL,LGA,762.0
ATL,EWR,746.0
ATL,BOS,946.0
ATL,DTW,594.0
ATL,MSP,907.0
ATL,DCA,547.0
ATL,SFO,2139.0
ATL,JFK,760.0
ATL,PHL,666.0
ATL,SLC,1590.0
ATL,MIA,594.0
ATL,BNA,214.0
ATL,BWI,577.0
ATL,SAN,1892.0
ATL,FLL,581.0
ATL,AUS,813.0
ATL,MDW,591.0
ATL,IAD,534.0
ATL,TPA,406.0
ORD,DFW,801.0
ORD,DEN,888.0
ORD,CLT,599.0
ORD,LAX,1744.0
ORD,SEA,1721.0
ORD,LAS,1514.0
ORD,PHX,1440.0
ORD,IAH,925.0
ORD,MCO,1005.0
ORD,LGA,733.0
ORD,EWR,719.0
ORD,BOS,867.0
ORD,DTW,235.0
ORD,MSP,334.0
ORD,DCA,612.0
ORD,SFO,1846.0
ORD,JFK,740.0
ORD,PHL,678.0
ORD,SLC,1250.0
ORD,MIA,1197.0
ORD,BNA,409.0
ORD,BWI,621.0
ORD,SAN,1723.0
ORD,FLL,1182.0
ORD,AUS,977.0
ORD,MDW,
ORD,IAD,588.0
ORD,TPA,1011.0
DFW,DEN,641.0
DFW,CLT,936.0
DFW,LAX,1235.0
DFW,SEA,1660.0
DFW,LAS,1055.0
DFW,PHX,868.0
DFW,IAH,224.0
DFW,MCO,985.0
DFW,LGA,1389.0
DFW,EWR,1372.0
DFW,BOS,1562.0
DFW,DTW,986.0
DFW,MSP,852.0
DFW,DCA,1192.0
DFW,SFO,1464.0
DFW,JFK,1391.0
DFW,PHL,1303.0
DFW,SLC,989.0
DFW,MIA,1121.0
DFW,BNA,631.0
DFW,BWI,1217.0
DFW,SAN,1171.0
DFW,FLL,1119.0
DFW,AUS,190.0
DFW,MDW,
DFW,IAD,1172.0
DFW,TPA,929.0
DEN,CLT,1337.0
DEN,LAX,862.0
DEN,SEA,1024.0
DEN,LAS,628.0
DEN,PHX,602.0
DEN,IAH,862.0
DEN,MCO,1546.0
DEN,LGA,1620.0
DEN,EWR,1605.0
DEN,BOS,1754.0
DEN,DTW,1123.0
DEN,MSP,680.0
DEN,DCA,1476.0
DEN,SFO,967.0
DEN,JFK,1626.0
DEN,PHL,1558.0
DEN,SLC,391.0
DEN,MIA,1709.0
DEN,BNA,1014.0
DEN,BWI,1491.0
DEN,SAN,853.0
DEN,FLL,1703.0
DEN,AUS,775.0
DEN,MDW,895.0
DEN,IAD,1452.0
DEN,TPA,1506.0
CLT,LAX,2125.0
CLT,SEA,2279.0
CLT,LAS,1916.0
CLT,PHX,1773.0
CLT,IAH,912.0
CLT,MCO,468.0
CLT,LGA,544.0
CLT,EWR,529.0
CLT,BOS,728.0
CLT,DTW,500.0
CLT,MSP,930.0
CLT,DCA,331.0
CLT,SFO,2296.0
CLT,JFK,541.0
CLT,PHL,449.0
CLT,SLC,1727.0
CLT,MIA,650.0
CLT,BNA,328.0
CLT,BWI,361.0
CLT,SAN,2077.0
