Rank,ORIGIN_IATA,Times
1,ATL,457121
2,ORD,429876
3,DFW,414896
4,DEN,411220
5,CLT,323043
6,LAX,270765
7,SEA,261944
8,LAS,241505
9,PHX,231414
10,IAH,219698
11,MCO,203573
12,LGA,198886
13,EWR,185000
14,BOS,182177
15,DTW,182153
16,MSP,176945
17,DCA,176042
18,SFO,175127
19,JFK,165581
20,PHL,160753
21,SLC,159234
22,MIA,137371
23,BNA,127193
24,BWI,126397
25,SAN,121962
26,FLL,116908
27,AUS,115842
28,MDW,113666
29,IAD,107323
30,TPA,97235
31,DAL,93970
32,PDX,91915
33,STL,87288
34,HNL,79551
35,RDU,78670
36,SMF,74206
37,HOU,73554
38,SJC,69445
39,MCI,65907
40,MSY,63657
41,OAK,61273
42,IND,60851
43,SNA,60199
44,PIT,57755
45,CVG,56761
46,CLE,56478
47,CMH,55231
48,SAT,51025
49,SJU,47567
50,OGG,40818
51,RSW,40167
52,JAX,39570
53,BUR,38349
54,MKE,38199
55,CHS,37885
56,BOI,36770
57,ANC,35925
58,SDF,34633
59,ONT,33440
60,MEM,32180
61,RIC,31892
62,OMA,31699
63,BDL,31627
64,ORF,31587
65,OKC,31292
66,ABQ,30849
67,MYR,30530
68,BUF,30357
69,RNO,30185
70,GEG,29897
71,PBI,29842
72,SAV,28895
73,GRR,24995
74,ELP,24907
75,TYS,24659
76,TUL,24194
77,BHM,23164
78,KOA,22962
79,PVD,21628
80,DSM,21506
81,TUS,21427
82,LIH,21194
83,LGB,20882
84,ROC,20695
85,SYR,20662
86,PNS,20584
87,GSP,20521
88,ALB,20300
89,PWM,19515
90,SRQ,19045
91,LIT,18617
92,AVL,17913
93,COS,17845
94,VPS,17561
95,XNA,17493
96,GSO,17421
97,BZN,16905
98,FAT,16902
99,MSN,16680
100,HPN,15167
