AIRPORT_ID,STATE,CITY,IATA_CODE
10135,PA,Allentown/Bethlehem/Easton,ABE
10136,TX,Abilene,ABI
10140,NM,Albuquerque,ABQ
10141,SD,Aberdeen,ABR
10146,GA,Albany,ABY
10154,MA,Nantucket,ACK
10155,TX,Waco,ACT
10157,CA,Arcata/Eureka,ACV
10158,NJ,Atlantic City,ACY
10165,AK,Adak Island,ADK
10170,AK,Kodiak,ADQ
10185,LA,Alexandria,AEX
10208,GA,Augusta,AGS
10245,AK,King Salmon,AKN
10257,NY,Albany,ALB
10268,IA,Waterloo,ALO
10272,CO,Alamosa,ALS
10275,WA,Walla Walla,ALW
10279,TX,Amarillo,AMA
10299,AK,Anchorage,ANC
10333,MI,Alpena,APN
10361,NY,Watertown,ART
10372,CO,Aspen,ASE
10397,GA,Atlanta,ATL
10408,WI,Appleton,ATW
10409,SD,Watertown,ATY
10423,TX,Austin,AUS
10431,NC,Asheville,AVL
10434,PA,Scranton/Wilkes-Barre,AVP
10466,AZ,Phoenix,AZA
10469,MI,Kalamazoo,AZO
10529,CT,Hartford,BDL
10551,AK,Bethel,BET
10558,NE,Scottsbluff,BFF
10561,CA,Bakersfield,BFL
10577,NY,Binghamton,BGM
10581,ME,Bangor,BGR
10599,AL,Birmingham,BHM
10617,CA,Bishop,BIH
10620,MT,Billings,BIL
10627,ND,Bismarck/Mandan,BIS
10631,MN,Bemidji,BJI
10643,MO,Branson,BKG
10666,WA,Bellingham,BLI
10676,IL,Belleville,BLV
10685,IL,Bloomington/Normal,BMI
10693,TN,Nashville,BNA
10713,ID,Boise,BOI
10721,MA,Boston,BOS
10728,TX,Beaumont/Port Arthur,BPT
10731,GA,Brunswick,BQK
10732,PR,Aguadilla,BQN
10739,MN,Brainerd,BRD
10747,TX,Brownsville,BRO
10754,AK,Barrow,BRW
10779,MT,Butte,BTM
10781,LA,Baton Rouge,BTR
10785,VT,Burlington,BTV
10792,NY,Buffalo,BUF
10800,CA,Burbank,BUR
10821,MD,Baltimore,BWI
10849,MT,Bozeman,BZN
10868,SC,Columbia,CAE
10874,OH,Akron,CAK
10917,AK,Cold Bay,CDB
10918,UT,Cedar City,CDC
10926,AK,Cordova,CDV
10967,MO,Cape Girardeau,CGI
10980,TN,Chattanooga,CHA
10990,VA,Charlottesville,CHO
10994,SC,Charleston,CHS
11003,IA,Cedar Rapids/Iowa City,CID
11013,MI,Sault Ste. Marie,CIU
11027,WV,Clarksburg/Fairmont,CKB
11042,OH,Cleveland,CLE
11049,TX,College Station/Bryan,CLL
11057,NC,Charlotte,CLT
11066,OH,Columbus,CMH
11067,IL,Champaign/Urbana,CMI
11076,MI,Hancock/Houghton,CMX
11092,UT,Moab,CNY
11097,WY,Cody,COD
11109,CO,Colorado Springs,COS
11111,MO,Columbia,COU
11122,WY,Casper,CPR
11140,TX,Corpus Christi,CRP
11146,WV,Charleston/Dunbar,CRW
11150,GA,Columbus,CSG
11193,OH,Cincinnati,CVG
11203,WI,Mosinee,CWA
11233,WY,Cheyenne,CYS
11252,FL,Daytona Beach,DAB
11259,TX,Dallas,DAL
11267,OH,Dayton,DAY
11274,IA,Dubuque,DBQ
11278,DC,Washington,DCA
11283,KS,Dodge City,DDC
11288,IL,Decatur,DEC
11292,CO,Denver,DEN
11298,TX,Dallas/Fort Worth,DFW
11308,AL,Dothan,DHN
11315,ND,Dickinson,DIK
11336,AK,Dillingham,DLG
11337,MN,Duluth,DLH
11413,CO,Durango,DRO
11415,TX,Del Rio,DRT
11423,IA,Des Moines,DSM
11433,MI,Detroit,DTW
11447,ND,Devils Lake,DVL
11468,NE,Kearney,EAR
11470,WA,Wenatchee,EAT
11471,WI,Eau Claire,EAU
11481,FL,Panama City,ECP
11503,CO,Eagle,EGE
11525,NV,Elko,EKO
11537,NY,Elmira/Corning,ELM
11540,TX,El Paso,ELP
11577,PA,Erie,ERI
11587,MI,Escanaba,ESC
11603,OR,Eugene,EUG
11612,IN,Evansville,EVV
11617,NC,New Bern/Morehead/Beaufort,EWN
11618,NJ,Newark,EWR
11624,FL,Key West,EYW
11630,AK,Fairbanks,FAI
11637,ND,Fargo,FAR
11638,CA,Fresno,FAT
11641,NC,Fayetteville,FAY
11648,MT,Kalispell,FCA
11695,AZ,Flagstaff,FLG
11697,FL,Fort Lauderdale,FLL
11699,SC,Florence,FLO
11721,MI,Flint,FNT
11725,IA,Fort Dodge,FOD
11775,SD,Sioux Falls,FSD
11778,AR,Fort Smith,FSM
11823,IN,Fort Wayne,FWA
11865,WY,Gillette,GCC
11867,KS,Garden City,GCK
11884,WA,Spokane,GEG
11898,ND,Grand Forks,GFK
11905,TX,Longview,GGG
11921,CO,Grand Junction,GJT
11953,FL,Gainesville,GNV
11973,MS,Gulfport/Biloxi,GPT
11977,WI,Green Bay,GRB
11980,NE,Grand Island,GRI
11982,TX,Killeen,GRK
11986,MI,Grand Rapids,GRR
11995,NC,Greensboro/High Point,GSO
11996,SC,Greer,GSP
11997,AK,Gustavus,GST
12003,MT,Great Falls,GTF
12007,MS,Columbus,GTR
12012,CO,Gunnison,GUC
12016,TT,Guam,GUM
12094,CO,Hayden,HDN
12119,MD,Hagerstown,HGR
12124,SC,Hilton Head,HHH
12129,MN,Hibbing,HIB
12156,MT,Helena,HLN
12173,HI,Honolulu,HNL
12177,NM,Hobbs,HOB
12191,TX,Houston,HOU
12197,NY,White Plains,HPN
12206,TX,Harlingen/San Benito,HRL
12217,AL,Huntsville,HSV
12223,WV,Ashland,HTS
12244,CT,New Haven,HVN
12250,MA,Hyannis,HYA
12255,KS,Hays,HYS
12264,DC,Washington,IAD
12265,NY,Niagara Falls,IAG
12266,TX,Houston,IAH
12278,KS,Wichita,ICT
12280,ID,Idaho Falls,IDA
12320,DE,Wilmington,ILG
12323,NC,Wilmington,ILM
12335,MI,Iron Mountain/Kingsfd,IMT
12339,IN,Indianapolis,IND
12343,MN,International Falls,INL
12365,PA,Williamsport,IPT
12391,NY,Islip,ISP
12397,NY,Ithaca/Cortland,ITH
12402,HI,Hilo,ITO
12441,WY,Jackson,JAC
12448,MS,Jackson/Vicksburg,JAN
12451,FL,Jacksonville,JAX
12478,NY,New York,JFK
12511,MO,Joplin,JLN
12519,ND,Jamestown,JMS
12523,AK,Juneau,JNU
12544,NC,Concord,USA
12559,PA,Johnstown,JST
12758,HI,Kona,KOA
12819,AK,Ketchikan,KTN
12884,MI,Lansing,LAN
12888,WY,Laramie,LAR
12889,NV,Las Vegas,LAS
12891,OK,Lawton/Fort Sill,LAW
12892,CA,Los Angeles,LAX
12896,TX,Lubbock,LBB
12898,PA,Latrobe,LBE
