station_id,latitude,longitude,elevation,state,name,additional_info
USW00000102,66.9831,-160.4331,51.2,AK,BOB BARKER MEMORIAL AP,
USW00000103,65.6169,-168.1,7.0,AK,WALES AP,
USW00000111,64.37,-161.2239,7.0,AK,SHAKTOOLIK AP,
USW00000113,66.8181,-161.0219,17.1,AK,ROBERT CURTIS MEMORIAL AP,
USW00000130,28.95,-98.5169,131.1,TX,PLEASANTON MUNI AP,
USW00000132,44.0331,-89.3,262.1,WI,WAUTOMA MUNI AP,
USW00000133,35.6,-92.45,157.3,AR,CLINTON MUNI AP,
USW00000153,37.4,-77.5169,72.2,VA,CHESTERFIELD CO AP,
USW00000154,36.7831,-76.45,7.0,VA,HAMPTON ROADS EXECUTIVE AP,
USW00000157,40.75,-106.2669,2486.3,CO,WALDEN JACKSON COUNTY AP,
USW00000160,40.0331,-105.2169,1612.1,CO,BOULDER MUNI AP,
USW00000166,30.5,-97.9669,375.2,TX,LAGO VISTA RUSTY ALLEN AP,
USW00000176,32.7169,-98.8919,391.1,TX,STEPHENS COUNTY AP,
USW00000177,29.85,-98.85,235.0,TX,CASTROVILLE MUNI AIRPORT,
USW00000209,33.6,-97.7831,336.2,TX,BOWIE MUNI AP,
USW00000225,30.5331,-98.3669,333.1,TX,HORSESHOE BAY RESORT AP,
USW00000229,31.1061,-98.1961,370.0,TX,LAMPASAS AP,
USW00000230,30.395,-97.5669,188.1,TX,AUSTIN EXECUTIVE AP,
USW00000263,29.7239,-98.695,422.1,TX,BOERNE STAGE FIELD AP,
USW00000270,28.2089,-100.0189,236.2,TX,FAITH RCH AP,
USW00000349,32.3311,-102.53,967.1,TX,ANDREWS COUNTY AP,
USW00000351,30.8789,-96.9711,123.1,TX,CAMERON MUNI AP,
USW00000357,31.6661,-98.1489,396.2,TX,HAMILTON MUNI AP,
USW00000362,31.4169,-97.8,276.1,TX,GATESVILLE MUNI AP,
USW00000369,33.2861,-117.4561,27.1,CA,MCOLF CAMP PENDLETON RED BEACH,
USW00000373,33.6169,-92.7669,40.2,AR,HARRELL FIELD AP,
USW00000393,65.2331,-166.35,89.0,AK,TELLER AP,
USW00000428,34.0997,-93.0661,55.8,AR,DEXTER B FLORENCE MEM FLD AP,
USW00000448,32.9306,-96.4356,175.3,TX,RALPH M HALL ROCKWALL MUNI AP,
USW00000461,31.6411,-96.5144,166.1,TX,MEXIA LIMESTONE COUNTY AP,
USW00000471,29.6342,-104.3614,896.1,TX,PRESIDIO LELY INTL AP,
USW00000477,29.5292,-97.4642,108.2,TX,ROGER M DREYER MEM AP,
USW00000490,66.8881,-157.1625,62.8,AK,SHUNGNAK AP,
USW00003012,36.45,-105.6667,2161.3,NM,TAOS MUNI AP,
USW00003013,38.0717,-102.6875,1124.1,CO,LAMAR MUNI AP,
USW00003016,39.5278,-107.7197,1684.0,CO,RIFLE GARFIELD CO AP,
USW00003017,39.8467,-104.6561,1647.1,CO,DENVER INTL AP,
USW00003024,35.695,-101.3956,926.9,TX,BORGER HUTCHINSON CO AP,
USW00003026,39.2414,-102.2819,1278.3,CO,BURLINGTON CARSON AP,
USW00003027,35.0031,-105.6628,2158.0,NM,CLINES CORNERS,
USW00003028,37.2833,-102.6139,1337.2,CO,SPRINGFIELD COMANCHE NATL GRAS,
USW00003029,35.6569,-109.0603,2055.3,AZ,WINDOW ROCK AP,
USW00003030,36.6819,-101.5053,948.8,OK,GUYMON MUNI AP,
USW00003031,31.925,-102.3875,909.2,TX,ODESSA SCHLEMEYER FLD,
USW00003032,30.0481,-102.2128,701.0,TX,DRYDEN TERRELL CO AP,
USW00003035,32.8525,-104.4675,1079.3,NM,ARTESIA MUNI AP,
USW00003038,39.4667,-106.15,3680.2,CO,RED CLIFF PASS,
USW00003040,39.2167,-104.6333,2151.9,CO,MONUMENT PASS,
USW00003044,32.2125,-101.5214,784.3,TX,BIG SPRING WRINKLE AP,
USW00003047,31.6219,-102.8072,830.3,TX,MONAHANS 6 ENE,
USW00003048,34.3558,-106.8858,1477.4,NM,SOCORRO 20 N,
USW00003049,30.3833,-103.6833,1375.6,TX,ALPINE CASPARIS AP,
USW00003050,32.6933,-100.9506,740.7,TX,SNYDER WINSTON FLD AP,
USW00003054,33.9558,-102.7739,1140.6,TX,MULESHOE 19 S,
USW00003055,36.5992,-101.595,995.5,OK,GOODWELL 2 E,
USW00003056,32.6753,-102.6544,1010.4,TX,GAINES CO AP,
USW00003058,31.3825,-103.5108,796.4,TX,PECOS MUNI AP,
USW00003060,38.5439,-107.6928,2560.9,CO,MONTROSE 11 ENE,
USW00003061,37.2553,-108.5036,2448.8,CO,CORTEZ 8 SE,
USW00003062,35.8583,-106.5214,2656.6,NM,LOS ALAMOS 13 W,
USW00003063,37.8639,-103.8225,1336.9,CO,LA JUNTA 17 WSW,
USW00003067,38.87,-100.9628,874.8,KS,OAKLEY 19 SSW,
USW00003068,38.7667,-104.3,1837.9,CO,BULLSEYE AUX AIRFIELD,
USW00003071,32.0364,-102.1011,854.4,TX,MIDLAND AIRPARK,
USW00003072,32.0408,-100.2494,608.7,TX,BRONTE 11 NNE,
USW00003074,32.6136,-106.7414,1318.9,NM,LAS CRUCES 20 N,
USW00003075,36.9353,-107.0003,2074.5,NM,DULCE 1 NW,
USW00003076,39.1017,-108.7353,1769.7,CO,GRAND JUNCTION 9 W,
USW00003077,34.8222,-109.8928,1710.8,AZ,HOLBROOK 17 ESE,
USW00003078,38.5442,-102.5025,1209.1,CO,EADS 16 ENE,
USW00003079,38.0989,-106.1708,2384.5,CO,SAGUACHE 2 WNW,
USW00003080,33.715,-108.7772,1780.6,NM,RESERVE 1 W,
USW00003081,37.5175,-111.9775,1796.8,UT,TROPIC 9 SE,
USW00003082,33.6475,-105.8944,1635.6,NM,CARRIZOZO 1 W,
USW00003083,39.6553,-102.6217,1283.8,CO,STRATTON 24 N,
USW00003084,37.7067,-106.1444,2340.3,CO,CENTER A 4 SSW,
USW00003085,32.0094,-109.3892,1564.5,AZ,BOWIE 23 SSE,
USW00003086,37.3814,-102.7194,1389.0,CO,SPRINGFIELD 6 WSW,
USW00003087,35.8244,-106.3178,2212.2,NM,SANTA FE 20 WNW,
USW00003088,38.9106,-105.265,2601.5,CO,WOODLAND PARK 14 WSW,
USW00003089,38.0386,-103.6947,1271.0,CO,ROCKY FORD 1 ESE,
USW00003090,36.6519,-105.9722,2484.4,NM,TAOS 27 NW,
USW00003091,37.2167,-103.5042,1789.2,CO,KIM 9 WSW,
USW00003092,36.7778,-103.9817,2204.3,NM,RATON 26 ESE,
USW00003093,39.7858,-103.5169,1452.1,CO,GENOA 35 N,
USW00003094,36.47,-103.1239,1488.9,NM,CLAYTON 3 ENE,
USW00003095,36.0608,-104.3553,1788.0,NM,MILLS 6 WSW,
USW00003096,39.7608,-108.1267,2301.2,CO,RIFLE 23 NW,
USW00003097,34.5169,-106.2703,1977.8,NM,MOUNTAINAIR 2 WSW,
USW00003098,39.4828,-106.7336,2622.8,CO,EAGLE 13 SSE,
USW00003099,40.9481,-107.6083,1986.7,CO,CRAIG 30 N,
USW00003102,34.0531,-117.5769,281.6,CA,ONTARIO INTL AP,
USW00003103,35.1442,-111.6664,2133.3,AZ,FLAGSTAFF AP,
USW00003104,33.6317,-116.1642,-36.0,CA,DESERT RESORTS RGNL AP,
USW00003109,36.95,-116.0833,1196.0,NV,CAMP MERCURY,
USW00003122,33.8017,-118.3411,27.4,CA,TORRANCE AP,
USW00003124,31.5883,-110.3442,1438.4,AZ,FORT HUACHUCA,
USW00003125,32.8356,-114.3942,98.8,AZ,YUMA PROVING GROUND,
USW00003129,35.05,-118.1667,842.5,CA,MOJAVE MCAS,
USW00003131,32.8144,-117.1375,127.4,CA,SAN DIEGO MONTGOMERY FLD,
USW00003144,32.8347,-115.5767,-16.8,CA,IMPERIAL CO AP,
USW00003145,32.65,-114.6167,64.9,AZ,YUMA MCAS,
USW00003154,33.3042,-117.355,21.3,CA,CAMP PENDLETON MCAS,
USW00003159,34.7411,-118.2125,712.6,CA,LANCASTER,
USW00003160,36.6206,-116.0278,984.5,NV,DESERT ROCK AP,
USW00003162,36.9211,-111.4486,1307.0,AZ,PAGE MUNI AP,
USW00003163,37.6122,-114.5264,1333.8,NV,CALIENTE,
