station_id,airport_id,state,city,IATA_CODE,longitude,latitude,elevation
USW00000230,10423,TX,Austin,AUS,-97.5669,30.395,188.1
USW00013904,10423,TX,Austin,AUS,-97.68,30.1831,146.6
USW00003017,11292,CO,Denver,DEN,-104.6561,39.8467,1647.1
USW00093067,11292,CO,Denver,DEN,-104.8483,39.56,1789.2
USW00003102,13891,CA,Ontario,ONT,-117.5769,34.0531,281.6
USW00003103,11695,AZ,Flagstaff,FLG,-111.6664,35.1442,2133.3
USW00003184,10466,AZ,Phoenix,AZA,-112.0661,33.6903,453.2
USW00003184,14107,AZ,Phoenix,PHX,-112.0661,33.6903,453.2
USW00023183,10466,AZ,Phoenix,AZA,-112.0036,33.4278,339.2
USW00023183,14107,AZ,Phoenix,PHX,-112.0036,33.4278,339.2
USW00003812,10431,NC,Asheville,AVL,-82.5378,35.4317,645.6
USW00003820,10208,GA,Augusta,AGS,-81.9636,33.3653,40.8
USW00013837,10208,GA,Augusta,AGS,-82.0383,33.4667,125.0
USW00003822,14685,GA,Savannah,SAV,-81.2022,32.1314,8.8
USW00003856,12217,AL,Huntsville,HSV,-86.7861,34.6442,189.9
USW00003882,11481,FL,Panama City,ECP,-85.6828,30.2119,12.8
USW00003887,11288,IL,Decatur,DEC,-88.8719,39.8308,205.1
USW00003888,10397,GA,Atlanta,ATL,-84.5247,33.7775,245.1
USW00053863,10397,GA,Atlanta,ATL,-84.2981,33.8783,298.4
USW00003901,11905,TX,Longview,GGG,-94.7139,32.3908,107.3
USW00003919,14877,KS,Salina,SLN,-97.6444,38.78,385.0
USW00013922,14877,KS,Salina,SLN,-97.65,38.8,387.4
USW00003929,13198,MO,Kansas City,MCI,-94.5603,38.8439,321.9
USW00003947,13198,MO,Kansas City,MCI,-94.7308,39.2975,307.2
USW00013988,13198,MO,Kansas City,MCI,-94.5892,39.1278,226.2
USW00003935,10967,MO,Cape Girardeau,CGI,-89.5786,37.2256,101.8
USW00003945,11111,MO,Columbia,COU,-92.2147,38.8169,272.2
USW00013983,11111,MO,Columbia,COU,-92.3667,38.9667,237.1
USW00003954,13851,OK,Oklahoma City,OKC,-97.6472,35.5411,390.1
USW00003965,15074,OK,Stillwater,SWO,-97.0894,36.1625,292.9
USW00003971,11259,TX,Dallas,DAL,-96.8678,32.6781,200.6
USW00013960,11259,TX,Dallas,DAL,-96.8358,32.8383,147.5
USW00004724,12265,NY,Niagara Falls,IAG,-78.9381,43.1083,178.3
USW00004726,12559,PA,Johnstown,JST,-78.8308,40.315,694.0
USW00004742,14025,NY,Plattsburgh,PBG,-73.4667,44.65,71.9
USW00064776,14025,NY,Plattsburgh,PBG,-73.4631,44.6392,50.3
USW00094733,14025,NY,Plattsburgh,PBG,-73.5231,44.6872,113.4
USW00004803,14520,WI,Rhinelander,RHI,-89.4825,45.6314,502.3
USW00004804,11066,OH,Columbus,CMH,-83.0783,40.0783,274.9
USW00004804,12917,OH,Columbus,LCK,-83.0783,40.0783,274.9
USW00004808,13232,IL,Chicago,MDW,-88.4814,41.7714,213.7
USW00004808,13930,IL,Chicago,ORD,-88.4814,41.7714,213.7
USW00004838,13232,IL,Chicago,MDW,-87.9047,42.1208,191.7
USW00004838,13930,IL,Chicago,ORD,-87.9047,42.1208,191.7
USW00014819,13232,IL,Chicago,MDW,-87.7553,41.7842,185.9
USW00014819,13930,IL,Chicago,ORD,-87.7553,41.7842,185.9
USW00014880,13232,IL,Chicago,MDW,-87.8633,42.4256,216.4
USW00014880,13930,IL,Chicago,ORD,-87.8633,42.4256,216.4
USW00094846,13232,IL,Chicago,MDW,-87.9317,41.9603,204.8
USW00094846,13930,IL,Chicago,ORD,-87.9317,41.9603,204.8
USW00094892,13232,IL,Chicago,MDW,-88.2511,41.8964,228.3
USW00094892,13930,IL,Chicago,ORD,-88.2511,41.8964,228.3
USW00004825,10408,WI,Appleton,ATW,-88.5167,44.2667,279.5
USW00004853,11042,OH,Cleveland,CLE,-81.6692,41.5256,177.4
USW00012812,14082,FL,Punta Gorda,PGD,-81.9939,26.9183,6.1
USW00012815,13204,FL,Orlando,MCO,-81.3242,28.4183,27.1
USW00012841,13204,FL,Orlando,MCO,-81.3356,28.5467,31.7
USW00012854,13204,FL,Orlando,MCO,-81.2436,28.7794,14.9
USW00012816,11953,FL,Gainesville,GNV,-82.2761,29.6917,40.5
USW00012834,11252,FL,Daytona Beach,DAB,-81.0719,29.1736,7.9
USW00012836,11624,FL,Key West,EYW,-81.7553,24.5569,0.3
USW00012838,13360,FL,Melbourne,MLB,-80.6356,28.0997,6.7
USW00012839,13303,FL,Miami,MIA,-80.3169,25.7881,1.5
USW00012882,13303,FL,Miami,MIA,-80.2828,25.9103,1.2
USW00012888,13303,FL,Miami,MIA,-80.4347,25.6422,1.8
USW00012842,15304,FL,Tampa,TPA,-82.54,27.9633,1.8
USW00092802,15304,FL,Tampa,TPA,-82.6258,28.1878,12.5
USW00012907,13061,TX,Laredo,LRD,-99.4667,27.5333,150.6
USW00012920,13061,TX,Laredo,LRD,-99.4667,27.5333,152.4
USW00012912,15569,TX,Victoria,VCT,-96.93,28.8625,33.8
USW00012922,15569,TX,Victoria,VCT,-97.0833,28.7833,35.1
USW00012916,13495,LA,New Orleans,MSY,-90.2778,29.9975,-0.9
USW00053915,13495,LA,New Orleans,MSY,-91.8844,30.0292,4.9
USW00053917,13495,LA,New Orleans,MSY,-90.0289,30.0494,0.9
USW00012918,12191,TX,Houston,HOU,-95.2822,29.6458,13.1
USW00012918,12266,TX,Houston,IAH,-95.2822,29.6458,13.1
USW00012960,12191,TX,Houston,HOU,-95.3608,29.9844,27.4
USW00012960,12266,TX,Houston,IAH,-95.3608,29.9844,27.4
USW00053910,12191,TX,Houston,HOU,-95.5564,30.0681,46.6
USW00053910,12266,TX,Houston,IAH,-95.5564,30.0681,46.6
USW00012921,14683,TX,San Antonio,SAT,-98.4839,29.5442,243.5
USW00012921,14842,TX,San Angelo,SJT,-98.4839,29.5442,243.5
USW00012970,14683,TX,San Antonio,SAT,-98.4719,29.3389,173.1
USW00012970,14842,TX,San Angelo,SJT,-98.4719,29.3389,173.1
USW00012979,14683,TX,San Antonio,SAT,-97.8644,29.8908,182.0
USW00012979,14842,TX,San Angelo,SJT,-97.8644,29.8908,182.0
USW00013733,13139,VA,Lynchburg,LYH,-79.2064,37.3214,274.9
USW00013737,13931,VA,Norfolk,ORF,-76.1928,36.9036,3.4
USW00013740,14524,VA,Richmond,RIC,-77.3233,37.5117,50.6
USW00013744,11699,SC,Florence,FLO,-79.7308,34.1878,43.0
USW00013748,12323,NC,Wilmington,ILM,-77.9,34.2667,7.0
USW00013781,12320,DE,Wilmington,ILG,-75.6056,39.6744,22.6
USW00013838,13422,AL,Mobile,MOB,-88.0631,30.6147,4.9
USW00013839,11308,AL,Dothan,DHN,-85.4433,31.3178,112.2
USW00093843,11308,AL,Dothan,DHN,-85.4333,31.2333,97.8
USW00013869,10146,GA,Albany,ABY,-84.1958,31.5364,58.2
USW00013876,10599,AL,Birmingham,BHM,-86.745,33.5656,187.8
USW00013880,10994,SC,Charleston,CHS,-80.0408,32.8994,11.9
USW00013881,11057,NC,Charlotte,CLT,-80.9544,35.2225,222.5
USW00013882,10980,TN,Chattanooga,CHA,-85.2003,35.0336,203.9
USW00013891,15412,TN,Knoxville,TYS,-83.9858,35.8181,296.0
USW00013893,13244,TN,Memphis,MEM,-89.9864,35.0564,76.5
USW00013895,13277,AL,Montgomery,MGM,-86.4075,32.2997,66.1
USW00013897,10693,TN,Nashville,BNA,-86.6881,36.1106,178.9
USW00013899,14193,FL,Pensacola,PNS,-87.1858,30.4761,36.0
USW00013942,13377,LA,Monroe,MLU,-92.03,32.5156,22.3
USW00013959,10155,TX,Waco,ACT,-97.2283,31.6181,151.8
USW00053952,10155,TX,Waco,ACT,-97.3164,31.4847,180.4
USW00013962,10136,TX,Abilene,ABI,-99.6819,32.4106,544.7
USW00013963,12992,AR,Little Rock,LIT,-92.2358,34.7272,76.5
