type,elevation_ft,iata_code
heliport,11,NA
small_airport,3435,NA
small_airport,450,NA
small_airport,820,NA
small_airport,80,NA
small_airport,1100,NA
small_airport,3810,NA
small_airport,3038,NA
small_airport,87,NA
heliport,3350,NA
small_airport,53,NA
small_airport,35,NA
small_airport,700,NA
heliport,957,NA
heliport,43,NA
small_airport,2064,NA
small_airport,3359,NA
small_airport,840,NA
heliport,634,NA
small_airport,820,NA
small_airport,1100,NA
small_airport,1265,NA
heliport,15,NA
heliport,600,NA
small_airport,12,NA
small_airport,45,NA
heliport,588,NA
small_airport,1365,NA
small_airport,970,NA
heliport,4465,NA
small_airport,105,NA
small_airport,348,NA
heliport,78,NA
seaplane_base,96,NA
heliport,8,NA
small_airport,1000,NA
heliport,905,NA
small_airport,960,NA
heliport,195,NA
heliport,402,NA
small_airport,1301,NA
small_airport,1620,NA
small_airport,150,NA
small_airport,1590,NA
heliport,600,NA
small_airport,670,NA
small_airport,1752,NA
small_airport,551,NA
small_airport,2680,NA
small_airport,719,NA
small_airport,150,NA
small_airport,860,NA
small_airport,2900,NA
small_airport,2060,NA
heliport,5210,NA
small_airport,271,NA
small_airport,2041,NA
heliport,120,NA
small_airport,344,NA
small_airport,610,NA
heliport,440,NA
heliport,3300,NA
heliport,3733,NA
small_airport,2594,NA
heliport,10175,NA
heliport,60,NA
small_airport,55,NA
heliport,86,NA
small_airport,19,NA
heliport,319,NA
small_airport,375,NA
small_airport,5268,NA
small_airport,950,NA
heliport,583,NA
heliport,890,NA
small_airport,670,NA
small_airport,59,NA
small_airport,1157,NA
small_airport,1485,NA
heliport,419,NA
small_airport,90,NA
small_airport,555,NA
small_airport,125,NA
heliport,140,NA
seaplane_base,NA,NA
seaplane_base,608,NA
heliport,736,NA
seaplane_base,1358,NA
heliport,615,NA
small_airport,3141,NA
heliport,2873,NA
small_airport,65,NA
small_airport,835,NA
heliport,10,NA
small_airport,3630,NA
heliport,40,NA
small_airport,4600,NA
heliport,100,NA
heliport,775,NA
heliport,1140,NA
small_airport,1060,NA
small_airport,960,NA
small_airport,1040,NA
small_airport,779,NA
heliport,630,NA
small_airport,505,NA
small_airport,370,NA
heliport,7,NA
small_airport,5124,NA
small_airport,6000,NA
small_airport,500,NA
heliport,154,NA
small_airport,930,NA
heliport,103,NA
heliport,20,NA
small_airport,4250,NA
heliport,715,NA
heliport,500,NA
small_airport,160,NA
small_airport,190,NA
small_airport,61,NA
small_airport,222,NA
heliport,122,NA
small_airport,165,NA
small_airport,5160,NA
small_airport,7615,NA
heliport,540,NA
small_airport,121,NA
small_airport,209,NA
small_airport,884,NA
small_airport,710,NA
heliport,9,NA
heliport,1160,NA
small_airport,5634,NA
small_airport,925,NA
small_airport,904,NA
heliport,762,NA
small_airport,1170,NA
heliport,781,NA
heliport,760,NA
heliport,168,NA
heliport,25,NA
heliport,9,NA
small_airport,141,NA
small_airport,700,NA
small_airport,850,NA
small_airport,650,NA
small_airport,153,NA
small_airport,1550,NA
seaplane_base,1180,NA
heliport,78,NA
small_airport,4240,NA
heliport,25,NA
small_airport,4443,NA
heliport,435,NA
small_airport,614,NA
small_airport,950,NA
heliport,807,NA
small_airport,705,NA
heliport,591,NA
heliport,1070,NA
heliport,390,NA
small_airport,15,NA
heliport,36,NA
small_airport,111,NA
small_airport,5830,NA
heliport,5,NA
heliport,560,NA
small_airport,840,NA
small_airport,4412,NA
small_airport,320,NA
heliport,1850,NA
small_airport,690,NA
small_airport,920,NA
small_airport,2150,NA
small_airport,675,NA
heliport,159,NA
seaplane_base,150,NA
heliport,628,NA
heliport,350,NA
small_airport,4275,NA
heliport,634,NA
small_airport,70,NA
heliport,20,NA
small_airport,238,NA
heliport,1178,NA
small_airport,3180,NA
small_airport,465,NA
small_airport,750,NA
small_airport,850,NA
heliport,580,NA
heliport,1160,NA
small_airport,385,NA
heliport,25,NA
heliport,79,NA
seaplane_base,165,NA
small_airport,150,NA
heliport,302,NA
small_airport,556,NA
heliport,585,NA
small_airport,1435,NA
heliport,110,NA
small_airport,3580,NA
small_airport,874,NA
small_airport,4,UTK
small_airport,35,NA
small_airport,1045,NA
small_airport,2430,NA
heliport,400,NA
heliport,6600,NA
heliport,320,NA
small_airport,6120,NA
small_airport,95,NA
small_airport,580,NA
heliport,890,NA
small_airport,890,NA
small_airport,1232,NA
small_airport,3340,NA
heliport,197,NA
heliport,479,NA
small_airport,980,NA
small_airport,704,NA
heliport,73,NA
small_airport,600,NA
heliport,1000,NA
heliport,1825,NA
small_airport,117,NA
heliport,50,NA
small_airport,5315,NA
small_airport,2440,NA
small_airport,2320,NA
heliport,38,NA
heliport,3881,NA
small_airport,2100,NA
small_airport,250,NA
heliport,686,NA
small_airport,943,NA
heliport,430,NA
small_airport,3020,NA
small_airport,2310,NA
heliport,880,NA
small_airport,9,NA
heliport,37,NA
small_airport,30,NA
small_airport,920,NA
small_airport,801,NA
small_airport,2343,NA
small_airport,755,NA
seaplane_base,954,NA
small_airport,728,NA
small_airport,710,NA
heliport,10,NA
heliport,52,NA
small_airport,200,NA
heliport,40,NA
small_airport,625,NA
small_airport,880,NA
small_airport,1195,NA
small_airport,100,NA
small_airport,2715,NA
heliport,445,NA
small_airport,3035,NA
small_airport,155,NA
heliport,40,NA
small_airport,2620,NA
small_airport,250,NA
heliport,185,NA
heliport,984,NA
